record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key
multi_segment_same_track:182:clean:1.00:0,multi_segment_same_track:182:clean:1.00,182,multi_segment_same_track,clean,1.0,3,0,270,16270,0.016875,1.016875,False,8edbb8c65a7d1623
multi_segment_same_track:182:clean:1.00:1,multi_segment_same_track:182:clean:1.00,182,multi_segment_same_track,clean,1.0,3,1,232764,248764,14.54775,15.54775,False,8edbb8c65a7d1623
multi_segment_same_track:182:clean:1.00:2,multi_segment_same_track:182:clean:1.00,182,multi_segment_same_track,clean,1.0,3,2,464044,480044,29.00275,30.00275,False,8edbb8c65a7d1623
multi_segment_same_track:182:combined_moderate:1.00:0,multi_segment_same_track:182:combined_moderate:1.00,182,multi_segment_same_track,combined_moderate,1.0,3,0,270,16270,0.016875,1.016875,False,8edbb8c65a7d1623
multi_segment_same_track:182:combined_moderate:1.00:1,multi_segment_same_track:182:combined_moderate:1.00,182,multi_segment_same_track,combined_moderate,1.0,3,1,232764,248764,14.54775,15.54775,False,8edbb8c65a7d1623
multi_segment_same_track:182:combined_moderate:1.00:2,multi_segment_same_track:182:combined_moderate:1.00,182,multi_segment_same_track,combined_moderate,1.0,3,2,464044,480044,29.00275,30.00275,False,8edbb8c65a7d1623
multi_segment_same_track:182:clean:2.00:0,multi_segment_same_track:182:clean:2.00,182,multi_segment_same_track,clean,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623
multi_segment_same_track:182:clean:2.00:1,multi_segment_same_track:182:clean:2.00,182,multi_segment_same_track,clean,2.0,3,1,224461,256461,14.0288125,16.0288125,False,8edbb8c65a7d1623
multi_segment_same_track:182:clean:2.00:2,multi_segment_same_track:182:clean:2.00,182,multi_segment_same_track,clean,2.0,3,2,448044,480044,28.00275,30.00275,False,8edbb8c65a7d1623
multi_segment_same_track:182:combined_moderate:2.00:0,multi_segment_same_track:182:combined_moderate:2.00,182,multi_segment_same_track,combined_moderate,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623
multi_segment_same_track:182:combined_moderate:2.00:1,multi_segment_same_track:182:combined_moderate:2.00,182,multi_segment_same_track,combined_moderate,2.0,3,1,224461,256461,14.0288125,16.0288125,False,8edbb8c65a7d1623
multi_segment_same_track:182:combined_moderate:2.00:2,multi_segment_same_track:182:combined_moderate:2.00,182,multi_segment_same_track,combined_moderate,2.0,3,2,448044,480044,28.00275,30.00275,False,8edbb8c65a7d1623
multi_segment_same_track:704:clean:1.00:0,multi_segment_same_track:704:clean:1.00,704,multi_segment_same_track,clean,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623
multi_segment_same_track:704:clean:1.00:1,multi_segment_same_track:704:clean:1.00,704,multi_segment_same_track,clean,1.0,3,1,231684,247684,14.48025,15.48025,False,8edbb8c65a7d1623
multi_segment_same_track:704:clean:1.00:2,multi_segment_same_track:704:clean:1.00,704,multi_segment_same_track,clean,1.0,3,2,463626,479626,28.976625,29.976625,False,8edbb8c65a7d1623
multi_segment_same_track:704:combined_moderate:1.00:0,multi_segment_same_track:704:combined_moderate:1.00,704,multi_segment_same_track,combined_moderate,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623
multi_segment_same_track:704:combined_moderate:1.00:1,multi_segment_same_track:704:combined_moderate:1.00,704,multi_segment_same_track,combined_moderate,1.0,3,1,231684,247684,14.48025,15.48025,False,8edbb8c65a7d1623
multi_segment_same_track:704:combined_moderate:1.00:2,multi_segment_same_track:704:combined_moderate:1.00,704,multi_segment_same_track,combined_moderate,1.0,3,2,463626,479626,28.976625,29.976625,False,8edbb8c65a7d1623
multi_segment_same_track:704:clean:2.00:0,multi_segment_same_track:704:clean:2.00,704,multi_segment_same_track,clean,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623
multi_segment_same_track:704:clean:2.00:1,multi_segment_same_track:704:clean:2.00,704,multi_segment_same_track,clean,2.0,3,1,223181,255181,13.9488125,15.9488125,False,8edbb8c65a7d1623
multi_segment_same_track:704:clean:2.00:2,multi_segment_same_track:704:clean:2.00,704,multi_segment_same_track,clean,2.0,3,2,447057,479057,27.9410625,29.9410625,False,8edbb8c65a7d1623
multi_segment_same_track:704:combined_moderate:2.00:0,multi_segment_same_track:704:combined_moderate:2.00,704,multi_segment_same_track,combined_moderate,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623
multi_segment_same_track:704:combined_moderate:2.00:1,multi_segment_same_track:704:combined_moderate:2.00,704,multi_segment_same_track,combined_moderate,2.0,3,1,223181,255181,13.9488125,15.9488125,False,8edbb8c65a7d1623
multi_segment_same_track:704:combined_moderate:2.00:2,multi_segment_same_track:704:combined_moderate:2.00,704,multi_segment_same_track,combined_moderate,2.0,3,2,447057,479057,27.9410625,29.9410625,False,8edbb8c65a7d1623
multi_segment_same_track:705:clean:1.00:0,multi_segment_same_track:705:clean:1.00,705,multi_segment_same_track,clean,1.0,3,0,620,16620,0.03875,1.03875,False,8edbb8c65a7d1623
multi_segment_same_track:705:clean:1.00:1,multi_segment_same_track:705:clean:1.00,705,multi_segment_same_track,clean,1.0,3,1,231048,247048,14.4405,15.4405,False,8edbb8c65a7d1623
multi_segment_same_track:705:clean:1.00:2,multi_segment_same_track:705:clean:1.00,705,multi_segment_same_track,clean,1.0,3,2,463059,479059,28.9411875,29.9411875,False,8edbb8c65a7d1623
multi_segment_same_track:705:combined_moderate:1.00:0,multi_segment_same_track:705:combined_moderate:1.00,705,multi_segment_same_track,combined_moderate,1.0,3,0,620,16620,0.03875,1.03875,False,8edbb8c65a7d1623
multi_segment_same_track:705:combined_moderate:1.00:1,multi_segment_same_track:705:combined_moderate:1.00,705,multi_segment_same_track,combined_moderate,1.0,3,1,231048,247048,14.4405,15.4405,False,8edbb8c65a7d1623
multi_segment_same_track:705:combined_moderate:1.00:2,multi_segment_same_track:705:combined_moderate:1.00,705,multi_segment_same_track,combined_moderate,1.0,3,2,463059,479059,28.9411875,29.9411875,False,8edbb8c65a7d1623
multi_segment_same_track:705:clean:2.00:0,multi_segment_same_track:705:clean:2.00,705,multi_segment_same_track,clean,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623
multi_segment_same_track:705:clean:2.00:1,multi_segment_same_track:705:clean:2.00,705,multi_segment_same_track,clean,2.0,3,1,223510,255510,13.969375,15.969375,False,8edbb8c65a7d1623
multi_segment_same_track:705:clean:2.00:2,multi_segment_same_track:705:clean:2.00,705,multi_segment_same_track,clean,2.0,3,2,447626,479626,27.976625,29.976625,False,8edbb8c65a7d1623
multi_segment_same_track:705:combined_moderate:2.00:0,multi_segment_same_track:705:combined_moderate:2.00,705,multi_segment_same_track,combined_moderate,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623
multi_segment_same_track:705:combined_moderate:2.00:1,multi_segment_same_track:705:combined_moderate:2.00,705,multi_segment_same_track,combined_moderate,2.0,3,1,223510,255510,13.969375,15.969375,False,8edbb8c65a7d1623
multi_segment_same_track:705:combined_moderate:2.00:2,multi_segment_same_track:705:combined_moderate:2.00,705,multi_segment_same_track,combined_moderate,2.0,3,2,447626,479626,27.976625,29.976625,False,8edbb8c65a7d1623
multi_segment_same_track:706:clean:1.00:0,multi_segment_same_track:706:clean:1.00,706,multi_segment_same_track,clean,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623
multi_segment_same_track:706:clean:1.00:1,multi_segment_same_track:706:clean:1.00,706,multi_segment_same_track,clean,1.0,3,1,231268,247268,14.45425,15.45425,False,8edbb8c65a7d1623
multi_segment_same_track:706:clean:1.00:2,multi_segment_same_track:706:clean:1.00,706,multi_segment_same_track,clean,1.0,3,2,463401,479401,28.9625625,29.9625625,False,8edbb8c65a7d1623
multi_segment_same_track:706:combined_moderate:1.00:0,multi_segment_same_track:706:combined_moderate:1.00,706,multi_segment_same_track,combined_moderate,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623
multi_segment_same_track:706:combined_moderate:1.00:1,multi_segment_same_track:706:combined_moderate:1.00,706,multi_segment_same_track,combined_moderate,1.0,3,1,231268,247268,14.45425,15.45425,False,8edbb8c65a7d1623
