record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key
short_centered:182:clean:1.00:0,short_centered:182:clean:1.00,182,short_centered,clean,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47
short_centered:182:noise:1.00:0,short_centered:182:noise:1.00,182,short_centered,noise,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47
short_centered:182:pitch:1.00:0,short_centered:182:pitch:1.00,182,short_centered,pitch,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47
short_centered:182:time:1.00:0,short_centered:182:time:1.00,182,short_centered,time,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47
short_centered:182:lowpass:1.00:0,short_centered:182:lowpass:1.00,182,short_centered,lowpass,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47
short_centered:182:highpass:1.00:0,short_centered:182:highpass:1.00,182,short_centered,highpass,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47
short_centered:182:clean:2.00:0,short_centered:182:clean:2.00,182,short_centered,clean,2.0,1,0,224022,256022,14.001375,16.001375,False,ce1dbf8baeb0cd47
short_centered:182:noise:2.00:0,short_centered:182:noise:2.00,182,short_centered,noise,2.0,1,0,224022,256022,14.001375,16.001375,False,ce1dbf8baeb0cd47
short_centered:182:pitch:2.00:0,short_centered:182:pitch:2.00,182,short_centered,pitch,2.0,1,0,224022,256022,14.001375,16.001375,False,ce1dbf8baeb0cd47
short_centered:182:time:2.00:0,short_centered:182:time:2.00,182,short_centered,time,2.0,1,0,224022,256022,14.001375,16.001375,False,ce1dbf8baeb0cd47
short_centered:182:lowpass:2.00:0,short_centered:182:lowpass:2.00,182,short_centered,lowpass,2.0,1,0,224022,256022,14.001375,16.001375,False,ce1dbf8baeb0cd47
short_centered:182:highpass:2.00:0,short_centered:182:highpass:2.00,182,short_centered,highpass,2.0,1,0,224022,256022,14.001375,16.001375,False,ce1dbf8baeb0cd47
short_centered:182:clean:3.00:0,short_centered:182:clean:3.00,182,short_centered,clean,3.0,1,0,216022,264022,13.501375,16.501375,False,ce1dbf8baeb0cd47
short_centered:182:noise:3.00:0,short_centered:182:noise:3.00,182,short_centered,noise,3.0,1,0,216022,264022,13.501375,16.501375,False,ce1dbf8baeb0cd47
short_centered:182:pitch:3.00:0,short_centered:182:pitch:3.00,182,short_centered,pitch,3.0,1,0,216022,264022,13.501375,16.501375,False,ce1dbf8baeb0cd47
short_centered:182:time:3.00:0,short_centered:182:time:3.00,182,short_centered,time,3.0,1,0,216022,264022,13.501375,16.501375,False,ce1dbf8baeb0cd47
short_centered:182:lowpass:3.00:0,short_centered:182:lowpass:3.00,182,short_centered,lowpass,3.0,1,0,216022,264022,13.501375,16.501375,False,ce1dbf8baeb0cd47
short_centered:182:highpass:3.00:0,short_centered:182:highpass:3.00,182,short_centered,highpass,3.0,1,0,216022,264022,13.501375,16.501375,False,ce1dbf8baeb0cd47
short_centered:704:clean:1.00:0,short_centered:704:clean:1.00,704,short_centered,clean,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47
short_centered:704:noise:1.00:0,short_centered:704:noise:1.00,704,short_centered,noise,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47
short_centered:704:pitch:1.00:0,short_centered:704:pitch:1.00,704,short_centered,pitch,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47
short_centered:704:time:1.00:0,short_centered:704:time:1.00,704,short_centered,time,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47
short_centered:704:lowpass:1.00:0,short_centered:704:lowpass:1.00,704,short_centered,lowpass,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47
short_centered:704:highpass:1.00:0,short_centered:704:highpass:1.00,704,short_centered,highpass,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47
short_centered:704:clean:2.00:0,short_centered:704:clean:2.00,704,short_centered,clean,2.0,1,0,223813,255813,13.9883125,15.9883125,False,ce1dbf8baeb0cd47
short_centered:704:noise:2.00:0,short_centered:704:noise:2.00,704,short_centered,noise,2.0,1,0,223813,255813,13.9883125,15.9883125,False,ce1dbf8baeb0cd47
short_centered:704:pitch:2.00:0,short_centered:704:pitch:2.00,704,short_centered,pitch,2.0,1,0,223813,255813,13.9883125,15.9883125,False,ce1dbf8baeb0cd47
