record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key
short_offcenter:182:clean:1.00:0,short_offcenter:182:clean:1.00,182,short_offcenter,clean,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4
short_offcenter:182:noise:1.00:0,short_offcenter:182:noise:1.00,182,short_offcenter,noise,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4
short_offcenter:182:pitch:1.00:0,short_offcenter:182:pitch:1.00,182,short_offcenter,pitch,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4
short_offcenter:182:time:1.00:0,short_offcenter:182:time:1.00,182,short_offcenter,time,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4
short_offcenter:182:lowpass:1.00:0,short_offcenter:182:lowpass:1.00,182,short_offcenter,lowpass,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4
short_offcenter:182:highpass:1.00:0,short_offcenter:182:highpass:1.00,182,short_offcenter,highpass,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4
short_offcenter:182:clean:2.00:0,short_offcenter:182:clean:2.00,182,short_offcenter,clean,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4
short_offcenter:182:noise:2.00:0,short_offcenter:182:noise:2.00,182,short_offcenter,noise,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4
short_offcenter:182:pitch:2.00:0,short_offcenter:182:pitch:2.00,182,short_offcenter,pitch,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4
short_offcenter:182:time:2.00:0,short_offcenter:182:time:2.00,182,short_offcenter,time,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4
short_offcenter:182:lowpass:2.00:0,short_offcenter:182:lowpass:2.00,182,short_offcenter,lowpass,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4
short_offcenter:182:highpass:2.00:0,short_offcenter:182:highpass:2.00,182,short_offcenter,highpass,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4
short_offcenter:182:clean:3.00:0,short_offcenter:182:clean:3.00,182,short_offcenter,clean,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4
short_offcenter:182:noise:3.00:0,short_offcenter:182:noise:3.00,182,short_offcenter,noise,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4
short_offcenter:182:pitch:3.00:0,short_offcenter:182:pitch:3.00,182,short_offcenter,pitch,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4
short_offcenter:182:time:3.00:0,short_offcenter:182:time:3.00,182,short_offcenter,time,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4
short_offcenter:182:lowpass:3.00:0,short_offcenter:182:lowpass:3.00,182,short_offcenter,lowpass,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4
short_offcenter:182:highpass:3.00:0,short_offcenter:182:highpass:3.00,182,short_offcenter,highpass,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4
short_offcenter:704:clean:1.00:0,short_offcenter:704:clean:1.00,704,short_offcenter,clean,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4
short_offcenter:704:noise:1.00:0,short_offcenter:704:noise:1.00,704,short_offcenter,noise,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4
short_offcenter:704:pitch:1.00:0,short_offcenter:704:pitch:1.00,704,short_offcenter,pitch,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4
short_offcenter:704:time:1.00:0,short_offcenter:704:time:1.00,704,short_offcenter,time,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4
short_offcenter:704:lowpass:1.00:0,short_offcenter:704:lowpass:1.00,704,short_offcenter,lowpass,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4
short_offcenter:704:highpass:1.00:0,short_offcenter:704:highpass:1.00,704,short_offcenter,highpass,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4
short_offcenter:704:clean:2.00:0,short_offcenter:704:clean:2.00,704,short_offcenter,clean,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4
short_offcenter:704:noise:2.00:0,short_offcenter:704:noise:2.00,704,short_offcenter,noise,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4
short_offcenter:704:pitch:2.00:0,short_offcenter:704:pitch:2.00,704,short_offcenter,pitch,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4
short_offcenter:704:time:2.00:0,short_offcenter:704:time:2.00,704,short_offcenter,time,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4
short_offcenter:704:lowpass:2.00:0,short_offcenter:704:lowpass:2.00,704,short_offcenter,lowpass,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4
short_offcenter:704:highpass:2.00:0,short_offcenter:704:highpass:2.00,704,short_offcenter,highpass,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4
short_offcenter:704:clean:3.00:0,short_offcenter:704:clean:3.00,704,short_offcenter,clean,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4
short_offcenter:704:noise:3.00:0,short_offcenter:704:noise:3.00,704,short_offcenter,noise,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4
short_offcenter:704:pitch:3.00:0,short_offcenter:704:pitch:3.00,704,short_offcenter,pitch,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4
short_offcenter:704:time:3.00:0,short_offcenter:704:time:3.00,704,short_offcenter,time,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4
short_offcenter:704:lowpass:3.00:0,short_offcenter:704:lowpass:3.00,704,short_offcenter,lowpass,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4
short_offcenter:704:highpass:3.00:0,short_offcenter:704:highpass:3.00,704,short_offcenter,highpass,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4
short_offcenter:705:clean:1.00:0,short_offcenter:705:clean:1.00,705,short_offcenter,clean,1.0,1,0,377368,393368,23.5855,24.5855,False,e5b1c2dbfdd1d0c4
short_offcenter:705:noise:1.00:0,short_offcenter:705:noise:1.00,705,short_offcenter,noise,1.0,1,0,377368,393368,23.5855,24.5855,False,e5b1c2dbfdd1d0c4
short_offcenter:705:pitch:1.00:0,short_offcenter:705:pitch:1.00,705,short_offcenter,pitch,1.0,1,0,377368,393368,23.5855,24.5855,False,e5b1c2dbfdd1d0c4
short_offcenter:705:time:1.00:0,short_offcenter:705:time:1.00,705,short_offcenter,time,1.0,1,0,377368,393368,23.5855,24.5855,False,e5b1c2dbfdd1d0c4
short_offcenter:705:lowpass:1.00:0,short_offcenter:705:lowpass:1.00,705,short_offcenter,lowpass,1.0,1,0,377368,393368,23.5855,24.5855,False,e5b1c2dbfdd1d0c4
short_offcenter:705:highpass:1.00:0,short_offcenter:705:highpass:1.00,705,short_offcenter,highpass,1.0,1,0,377368,393368,23.5855,24.5855,False,e5b1c2dbfdd1d0c4
short_offcenter:705:clean:2.00:0,short_offcenter:705:clean:2.00,705,short_offcenter,clean,2.0,1,0,59837,91837,3.7398125,5.7398125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:noise:2.00:0,short_offcenter:705:noise:2.00,705,short_offcenter,noise,2.0,1,0,59837,91837,3.7398125,5.7398125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:pitch:2.00:0,short_offcenter:705:pitch:2.00,705,short_offcenter,pitch,2.0,1,0,59837,91837,3.7398125,5.7398125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:time:2.00:0,short_offcenter:705:time:2.00,705,short_offcenter,time,2.0,1,0,59837,91837,3.7398125,5.7398125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:lowpass:2.00:0,short_offcenter:705:lowpass:2.00,705,short_offcenter,lowpass,2.0,1,0,59837,91837,3.7398125,5.7398125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:highpass:2.00:0,short_offcenter:705:highpass:2.00,705,short_offcenter,highpass,2.0,1,0,59837,91837,3.7398125,5.7398125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:clean:3.00:0,short_offcenter:705:clean:3.00,705,short_offcenter,clean,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:noise:3.00:0,short_offcenter:705:noise:3.00,705,short_offcenter,noise,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:pitch:3.00:0,short_offcenter:705:pitch:3.00,705,short_offcenter,pitch,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:time:3.00:0,short_offcenter:705:time:3.00,705,short_offcenter,time,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:lowpass:3.00:0,short_offcenter:705:lowpass:3.00,705,short_offcenter,lowpass,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4
short_offcenter:705:highpass:3.00:0,short_offcenter:705:highpass:3.00,705,short_offcenter,highpass,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4
short_offcenter:706:clean:1.00:0,short_offcenter:706:clean:1.00,706,short_offcenter,clean,1.0,1,0,143149,159149,8.9468125,9.9468125,False,e5b1c2dbfdd1d0c4
short_offcenter:706:noise:1.00:0,short_offcenter:706:noise:1.00,706,short_offcenter,noise,1.0,1,0,143149,159149,8.9468125,9.9468125,False,e5b1c2dbfdd1d0c4
short_offcenter:706:pitch:1.00:0,short_offcenter:706:pitch:1.00,706,short_offcenter,pitch,1.0,1,0,143149,159149,8.9468125,9.9468125,False,e5b1c2dbfdd1d0c4
short_offcenter:706:time:1.00:0,short_offcenter:706:time:1.00,706,short_offcenter,time,1.0,1,0,143149,159149,8.9468125,9.9468125,False,e5b1c2dbfdd1d0c4
short_offcenter:706:lowpass:1.00:0,short_offcenter:706:lowpass:1.00,706,short_offcenter,lowpass,1.0,1,0,143149,159149,8.9468125,9.9468125,False,e5b1c2dbfdd1d0c4
short_offcenter:706:highpass:1.00:0,short_offcenter:706:highpass:1.00,706,short_offcenter,highpass,1.0,1,0,143149,159149,8.9468125,9.9468125,False,e5b1c2dbfdd1d0c4
short_offcenter:706:clean:2.00:0,short_offcenter:706:clean:2.00,706,short_offcenter,clean,2.0,1,0,324795,356795,20.2996875,22.2996875,False,e5b1c2dbfdd1d0c4
short_offcenter:706:noise:2.00:0,short_offcenter:706:noise:2.00,706,short_offcenter,noise,2.0,1,0,324795,356795,20.2996875,22.2996875,False,e5b1c2dbfdd1d0c4
short_offcenter:706:pitch:2.00:0,short_offcenter:706:pitch:2.00,706,short_offcenter,pitch,2.0,1,0,324795,356795,20.2996875,22.2996875,False,e5b1c2dbfdd1d0c4
short_offcenter:706:time:2.00:0,short_offcenter:706:time:2.00,706,short_offcenter,time,2.0,1,0,324795,356795,20.2996875,22.2996875,False,e5b1c2dbfdd1d0c4
short_offcenter:706:lowpass:2.00:0,short_offcenter:706:lowpass:2.00,706,short_offcenter,lowpass,2.0,1,0,324795,356795,20.2996875,22.2996875,False,e5b1c2dbfdd1d0c4
short_offcenter:706:highpass:2.00:0,short_offcenter:706:highpass:2.00,706,short_offcenter,highpass,2.0,1,0,324795,356795,20.2996875,22.2996875,False,e5b1c2dbfdd1d0c4
short_offcenter:706:clean:3.00:0,short_offcenter:706:clean:3.00,706,short_offcenter,clean,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4
short_offcenter:706:noise:3.00:0,short_offcenter:706:noise:3.00,706,short_offcenter,noise,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4
