record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
short_offcenter:182:clean:2.00:0,short_offcenter:182:clean:2.00,182,short_offcenter,clean,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:182:noise:2.00:0,short_offcenter:182:noise:2.00,182,short_offcenter,noise,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:pitch:2.00:0,short_offcenter:182:pitch:2.00,182,short_offcenter,pitch,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:time:2.00:0,short_offcenter:182:time:2.00,182,short_offcenter,time,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:lowpass:2.00:0,short_offcenter:182:lowpass:2.00,182,short_offcenter,lowpass,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:highpass:2.00:0,short_offcenter:182:highpass:2.00,182,short_offcenter,highpass,2.0,1,0,425243,457243,26.5776875,28.5776875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:clean:2.00:0,short_offcenter:704:clean:2.00,704,short_offcenter,clean,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:704:noise:2.00:0,short_offcenter:704:noise:2.00,704,short_offcenter,noise,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:pitch:2.00:0,short_offcenter:704:pitch:2.00,704,short_offcenter,pitch,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:time:2.00:0,short_offcenter:704:time:2.00,704,short_offcenter,time,2.0,1,0,439345,471345,27.4590625,29.4590625,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
