record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
combined_moderate:182:combined_moderate:3.00:0,combined_moderate:182:combined_moderate:3.00,182,combined_moderate,combined_moderate,3.0,1,0,346916,394916,21.68225,24.68225,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.045452292280437}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9808838046134291}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.22520871944215992}}]"
combined_moderate:704:combined_moderate:3.00:0,combined_moderate:704:combined_moderate:3.00,704,combined_moderate,combined_moderate,3.0,1,0,10859,58859,0.6786875,3.6786875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.602015813518037}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 222.7729227971145}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.6925512240946659}}]"
combined_moderate:705:combined_moderate:3.00:0,combined_moderate:705:combined_moderate:3.00,705,combined_moderate,combined_moderate,3.0,1,0,143957,191957,8.9973125,11.9973125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.149662662683486}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 477.6878647477577}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3231.8502608084646}}]"
combined_moderate:706:combined_moderate:3.00:0,combined_moderate:706:combined_moderate:3.00,706,combined_moderate,combined_moderate,3.0,1,0,6696,54696,0.4185,3.4185,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.808364367977568}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3987.694201629993}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 468.20783732721213}}]"
combined_moderate:707:combined_moderate:3.00:0,combined_moderate:707:combined_moderate:3.00,707,combined_moderate,combined_moderate,3.0,1,0,262335,310335,16.3959375,19.3959375,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.658911585602027}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0186727177601078}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.28763916509925425}}]"
combined_moderate:708:combined_moderate:3.00:0,combined_moderate:708:combined_moderate:3.00,708,combined_moderate,combined_moderate,3.0,1,0,19159,67159,1.1974375,4.1974375,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.463047415998158}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.983727175594607}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 258.1156561604081}}]"
combined_moderate:709:combined_moderate:3.00:0,combined_moderate:709:combined_moderate:3.00,709,combined_moderate,combined_moderate,3.0,1,0,114696,162696,7.1685,10.1685,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.010221864152044}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.03251346936962274}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 437.785566099041}}]"
combined_moderate:890:combined_moderate:3.00:0,combined_moderate:890:combined_moderate:3.00,890,combined_moderate,combined_moderate,3.0,1,0,427786,475786,26.736625,29.736625,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.966180189543195}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.046120461012714165}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 361.81880438064564}}]"
combined_moderate:892:combined_moderate:3.00:0,combined_moderate:892:combined_moderate:3.00,892,combined_moderate,combined_moderate,3.0,1,0,394916,442916,24.68225,27.68225,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.942630069506322}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.5528743780783882}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 336.6834327179562}}]"
combined_moderate:1066:combined_moderate:3.00:0,combined_moderate:1066:combined_moderate:3.00,1066,combined_moderate,combined_moderate,3.0,1,0,261959,309959,16.3724375,19.3724375,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.286134918088235}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0020925510435077}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3552.955600459743}}]"
combined_moderate:1069:combined_moderate:3.00:0,combined_moderate:1069:combined_moderate:3.00,1069,combined_moderate,combined_moderate,3.0,1,0,407265,455265,25.4540625,28.4540625,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.18119419182979}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.9319486082448343}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9960429424959036}}]"
combined_moderate:1073:combined_moderate:3.00:0,combined_moderate:1073:combined_moderate:3.00,1073,combined_moderate,combined_moderate,3.0,1,0,20021,68021,1.2513125,4.2513125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.797127596334587}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3675.803877848609}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.19441260166488084}}]"
combined_moderate:1075:combined_moderate:3.00:0,combined_moderate:1075:combined_moderate:3.00,1075,combined_moderate,combined_moderate,3.0,1,0,65472,113472,4.092,7.092,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.225659418795846}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 443.722955209073}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.004685904859923}}]"
combined_moderate:1249:combined_moderate:3.00:0,combined_moderate:1249:combined_moderate:3.00,1249,combined_moderate,combined_moderate,3.0,1,0,154150,202150,9.634375,12.634375,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.932607409641967}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.30504610770316054}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.971633464477114}}]"
combined_moderate:1259:combined_moderate:3.00:0,combined_moderate:1259:combined_moderate:3.00,1259,combined_moderate,combined_moderate,3.0,1,0,125299,173299,7.8311875,10.8311875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.363082673555448}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.5493838917809719}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 330.7974408262005}}]"
combined_moderate:3624:combined_moderate:3.00:0,combined_moderate:3624:combined_moderate:3.00,3624,combined_moderate,combined_moderate,3.0,1,0,350275,398275,21.8921875,24.8921875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.403897112275068}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9720239558593955}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3410.8184705803315}}]"
combined_moderate:4108:combined_moderate:3.00:0,combined_moderate:4108:combined_moderate:3.00,4108,combined_moderate,combined_moderate,3.0,1,0,416058,464058,26.003625,29.003625,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.568533771214378}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.997965506695592}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 386.1167426591138}}]"
combined_moderate:7373:combined_moderate:3.00:0,combined_moderate:7373:combined_moderate:3.00,7373,combined_moderate,combined_moderate,3.0,1,0,300397,348397,18.7748125,21.7748125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.98514753839865}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9768456935613865}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3946.7775701735973}}]"
combined_moderate:7374:combined_moderate:3.00:0,combined_moderate:7374:combined_moderate:3.00,7374,combined_moderate,combined_moderate,3.0,1,0,15075,63075,0.9421875,3.9421875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.210377503493246}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.7232810304255812}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.990227518465013}}]"
combined_moderate:7375:combined_moderate:3.00:0,combined_moderate:7375:combined_moderate:3.00,7375,combined_moderate,combined_moderate,3.0,1,0,46235,94235,2.8896875,5.8896875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 13.982138163299737}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 403.21056938878655}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9851260886235343}}]"
