record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
short_centered:182:clean:1.00:0,short_centered:182:clean:1.00,182,short_centered,clean,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47,[]
short_centered:182:noise:1.00:0,short_centered:182:noise:1.00,182,short_centered,noise,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_centered:182:pitch:1.00:0,short_centered:182:pitch:1.00,182,short_centered,pitch,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_centered:182:time:1.00:0,short_centered:182:time:1.00,182,short_centered,time,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_centered:182:lowpass:1.00:0,short_centered:182:lowpass:1.00,182,short_centered,lowpass,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_centered:182:highpass:1.00:0,short_centered:182:highpass:1.00,182,short_centered,highpass,1.0,1,0,232022,248022,14.501375,15.501375,False,ce1dbf8baeb0cd47,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_centered:704:clean:1.00:0,short_centered:704:clean:1.00,704,short_centered,clean,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,[]
short_centered:704:noise:1.00:0,short_centered:704:noise:1.00,704,short_centered,noise,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_centered:704:pitch:1.00:0,short_centered:704:pitch:1.00,704,short_centered,pitch,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_centered:704:time:1.00:0,short_centered:704:time:1.00,704,short_centered,time,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_centered:704:lowpass:1.00:0,short_centered:704:lowpass:1.00,704,short_centered,lowpass,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_centered:704:highpass:1.00:0,short_centered:704:highpass:1.00,704,short_centered,highpass,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_centered:705:clean:1.00:0,short_centered:705:clean:1.00,705,short_centered,clean,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,[]
short_centered:705:noise:1.00:0,short_centered:705:noise:1.00,705,short_centered,noise,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_centered:705:pitch:1.00:0,short_centered:705:pitch:1.00,705,short_centered,pitch,1.0,1,0,231813,247813,14.4883125,15.4883125,False,ce1dbf8baeb0cd47,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
