record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
multi_segment_same_track:182:clean:2.00:0,multi_segment_same_track:182:clean:2.00,182,multi_segment_same_track,clean,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623,[]
multi_segment_same_track:182:clean:2.00:1,multi_segment_same_track:182:clean:2.00,182,multi_segment_same_track,clean,2.0,3,1,224461,256461,14.0288125,16.0288125,False,8edbb8c65a7d1623,[]
multi_segment_same_track:182:clean:2.00:2,multi_segment_same_track:182:clean:2.00,182,multi_segment_same_track,clean,2.0,3,2,448044,480044,28.00275,30.00275,False,8edbb8c65a7d1623,[]
multi_segment_same_track:182:combined_moderate:2.00:0,multi_segment_same_track:182:combined_moderate:2.00,182,multi_segment_same_track,combined_moderate,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.62334304244338}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.018212105918870014}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 447.27551888746774}}]"
multi_segment_same_track:182:combined_moderate:2.00:1,multi_segment_same_track:182:combined_moderate:2.00,182,multi_segment_same_track,combined_moderate,2.0,3,1,224461,256461,14.0288125,16.0288125,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.749400887922462}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3208.461385251862}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 337.79324420758485}}]"
multi_segment_same_track:182:combined_moderate:2.00:2,multi_segment_same_track:182:combined_moderate:2.00,182,multi_segment_same_track,combined_moderate,2.0,3,2,448044,480044,28.00275,30.00275,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 13.76337879472974}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.7516920614902254}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 425.1724729533084}}]"
multi_segment_same_track:704:clean:2.00:0,multi_segment_same_track:704:clean:2.00,704,multi_segment_same_track,clean,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623,[]
multi_segment_same_track:704:clean:2.00:1,multi_segment_same_track:704:clean:2.00,704,multi_segment_same_track,clean,2.0,3,1,223181,255181,13.9488125,15.9488125,False,8edbb8c65a7d1623,[]
multi_segment_same_track:704:clean:2.00:2,multi_segment_same_track:704:clean:2.00,704,multi_segment_same_track,clean,2.0,3,2,447057,479057,27.9410625,29.9410625,False,8edbb8c65a7d1623,[]
multi_segment_same_track:704:combined_moderate:2.00:0,multi_segment_same_track:704:combined_moderate:2.00,704,multi_segment_same_track,combined_moderate,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.665927697848483}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0115703269777578}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 464.18858846294626}}]"
multi_segment_same_track:704:combined_moderate:2.00:1,multi_segment_same_track:704:combined_moderate:2.00,704,multi_segment_same_track,combined_moderate,2.0,3,1,223181,255181,13.9488125,15.9488125,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.489916196151036}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3278.516220372175}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 393.1596226827875}}]"
multi_segment_same_track:704:combined_moderate:2.00:2,multi_segment_same_track:704:combined_moderate:2.00,704,multi_segment_same_track,combined_moderate,2.0,3,2,447057,479057,27.9410625,29.9410625,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.533123969653765}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 256.20758220812974}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.003206464213575}}]"
multi_segment_same_track:705:clean:2.00:0,multi_segment_same_track:705:clean:2.00,705,multi_segment_same_track,clean,2.0,3,0,0,32000,0.0,2.0,False,8edbb8c65a7d1623,[]
multi_segment_same_track:705:clean:2.00:1,multi_segment_same_track:705:clean:2.00,705,multi_segment_same_track,clean,2.0,3,1,223510,255510,13.969375,15.969375,False,8edbb8c65a7d1623,[]
