record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
combined_moderate:182:combined_moderate:1.00:0,combined_moderate:182:combined_moderate:1.00,182,combined_moderate,combined_moderate,1.0,1,0,359861,375861,22.4913125,23.4913125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.045452292280437}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9778441430021865}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4270.314625669978}}]"
combined_moderate:704:combined_moderate:1.00:0,combined_moderate:704:combined_moderate:1.00,704,combined_moderate,combined_moderate,1.0,1,0,309896,325896,19.3685,20.3685,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.602015813518037}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 289.50970301213135}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0169812528195417}}]"
combined_moderate:705:combined_moderate:1.00:0,combined_moderate:705:combined_moderate:1.00,705,combined_moderate,combined_moderate,1.0,1,0,377368,393368,23.5855,24.5855,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.149662662683486}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3416.130467547775}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 297.67454724233056}}]"
combined_moderate:706:combined_moderate:1.00:0,combined_moderate:706:combined_moderate:1.00,706,combined_moderate,combined_moderate,1.0,1,0,143149,159149,8.9468125,9.9468125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.808364367977568}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3537.8607836292617}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0245183924013468}}]"
combined_moderate:707:combined_moderate:1.00:0,combined_moderate:707:combined_moderate:1.00,707,combined_moderate,combined_moderate,1.0,1,0,408222,424222,25.513875,26.513875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.658911585602027}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4109.731237630172}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9774081826986996}}]"
combined_moderate:708:combined_moderate:1.00:0,combined_moderate:708:combined_moderate:1.00,708,combined_moderate,combined_moderate,1.0,1,0,359140,375140,22.44625,23.44625,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.463047415998158}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0054293689192029}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.6011384795013199}}]"
combined_moderate:709:combined_moderate:1.00:0,combined_moderate:709:combined_moderate:1.00,709,combined_moderate,combined_moderate,1.0,1,0,121276,137276,7.57975,8.57975,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.010221864152044}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4184.648574959436}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0053789330641483}}]"
combined_moderate:890:combined_moderate:1.00:0,combined_moderate:890:combined_moderate:1.00,890,combined_moderate,combined_moderate,1.0,1,0,101572,117572,6.34825,7.34825,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.966180189543195}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3601.749724539698}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 222.118708589109}}]"
combined_moderate:892:combined_moderate:1.00:0,combined_moderate:892:combined_moderate:1.00,892,combined_moderate,combined_moderate,1.0,1,0,45907,61907,2.8691875,3.8691875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.942630069506322}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3331.799953012485}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.8415491319389827}}]"
combined_moderate:1066:combined_moderate:1.00:0,combined_moderate:1066:combined_moderate:1.00,1066,combined_moderate,combined_moderate,1.0,1,0,362904,378904,22.6815,23.6815,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.286134918088235}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.08168729141968423}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3556.0872635786636}}]"
