record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
multi_segment_same_track:182:clean:1.00:0,multi_segment_same_track:182:clean:1.00,182,multi_segment_same_track,clean,1.0,3,0,270,16270,0.016875,1.016875,False,8edbb8c65a7d1623,[]
multi_segment_same_track:182:clean:1.00:1,multi_segment_same_track:182:clean:1.00,182,multi_segment_same_track,clean,1.0,3,1,232764,248764,14.54775,15.54775,False,8edbb8c65a7d1623,[]
multi_segment_same_track:182:clean:1.00:2,multi_segment_same_track:182:clean:1.00,182,multi_segment_same_track,clean,1.0,3,2,464044,480044,29.00275,30.00275,False,8edbb8c65a7d1623,[]
multi_segment_same_track:182:combined_moderate:1.00:0,multi_segment_same_track:182:combined_moderate:1.00,182,multi_segment_same_track,combined_moderate,1.0,3,0,270,16270,0.016875,1.016875,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.62334304244338}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.3746347918194848}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 318.4731083716463}}]"
multi_segment_same_track:182:combined_moderate:1.00:1,multi_segment_same_track:182:combined_moderate:1.00,182,multi_segment_same_track,combined_moderate,1.0,3,1,232764,248764,14.54775,15.54775,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.749400887922462}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9908517204328479}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.2084542741386406}}]"
multi_segment_same_track:182:combined_moderate:1.00:2,multi_segment_same_track:182:combined_moderate:1.00,182,multi_segment_same_track,combined_moderate,1.0,3,2,464044,480044,29.00275,30.00275,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 13.76337879472974}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.8678200231054112}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0039033750938626}}]"
multi_segment_same_track:704:clean:1.00:0,multi_segment_same_track:704:clean:1.00,704,multi_segment_same_track,clean,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623,[]
multi_segment_same_track:704:clean:1.00:1,multi_segment_same_track:704:clean:1.00,704,multi_segment_same_track,clean,1.0,3,1,231684,247684,14.48025,15.48025,False,8edbb8c65a7d1623,[]
multi_segment_same_track:704:clean:1.00:2,multi_segment_same_track:704:clean:1.00,704,multi_segment_same_track,clean,1.0,3,2,463626,479626,28.976625,29.976625,False,8edbb8c65a7d1623,[]
multi_segment_same_track:704:combined_moderate:1.00:0,multi_segment_same_track:704:combined_moderate:1.00,704,multi_segment_same_track,combined_moderate,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.665927697848483}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9986137950601237}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 469.8061362014315}}]"
multi_segment_same_track:704:combined_moderate:1.00:1,multi_segment_same_track:704:combined_moderate:1.00,704,multi_segment_same_track,combined_moderate,1.0,3,1,231684,247684,14.48025,15.48025,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.489916196151036}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.3823408642787547}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9853571680008071}}]"
multi_segment_same_track:704:combined_moderate:1.00:2,multi_segment_same_track:704:combined_moderate:1.00,704,multi_segment_same_track,combined_moderate,1.0,3,2,463626,479626,28.976625,29.976625,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.533123969653765}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.4454391774810229}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4096.742657367918}}]"
multi_segment_same_track:705:clean:1.00:0,multi_segment_same_track:705:clean:1.00,705,multi_segment_same_track,clean,1.0,3,0,620,16620,0.03875,1.03875,False,8edbb8c65a7d1623,[]
multi_segment_same_track:705:clean:1.00:1,multi_segment_same_track:705:clean:1.00,705,multi_segment_same_track,clean,1.0,3,1,231048,247048,14.4405,15.4405,False,8edbb8c65a7d1623,[]
multi_segment_same_track:705:clean:1.00:2,multi_segment_same_track:705:clean:1.00,705,multi_segment_same_track,clean,1.0,3,2,463059,479059,28.9411875,29.9411875,False,8edbb8c65a7d1623,[]
multi_segment_same_track:705:combined_moderate:1.00:0,multi_segment_same_track:705:combined_moderate:1.00,705,multi_segment_same_track,combined_moderate,1.0,3,0,620,16620,0.03875,1.03875,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.02347080085611}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.9401095771550043}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9808047838900191}}]"
multi_segment_same_track:705:combined_moderate:1.00:1,multi_segment_same_track:705:combined_moderate:1.00,705,multi_segment_same_track,combined_moderate,1.0,3,1,231048,247048,14.4405,15.4405,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.151167854696753}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9852998804241225}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3404.7420780298776}}]"
multi_segment_same_track:705:combined_moderate:1.00:2,multi_segment_same_track:705:combined_moderate:1.00,705,multi_segment_same_track,combined_moderate,1.0,3,2,463059,479059,28.9411875,29.9411875,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.038146896101372}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.9879087694058013}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4189.383373919703}}]"
multi_segment_same_track:706:clean:1.00:0,multi_segment_same_track:706:clean:1.00,706,multi_segment_same_track,clean,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623,[]
multi_segment_same_track:706:clean:1.00:1,multi_segment_same_track:706:clean:1.00,706,multi_segment_same_track,clean,1.0,3,1,231268,247268,14.45425,15.45425,False,8edbb8c65a7d1623,[]
multi_segment_same_track:706:clean:1.00:2,multi_segment_same_track:706:clean:1.00,706,multi_segment_same_track,clean,1.0,3,2,463401,479401,28.9625625,29.9625625,False,8edbb8c65a7d1623,[]
multi_segment_same_track:706:combined_moderate:1.00:0,multi_segment_same_track:706:combined_moderate:1.00,706,multi_segment_same_track,combined_moderate,1.0,3,0,0,16000,0.0,1.0,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.23796922343748}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9827813944523159}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 306.2171611371601}}]"
multi_segment_same_track:706:combined_moderate:1.00:1,multi_segment_same_track:706:combined_moderate:1.00,706,multi_segment_same_track,combined_moderate,1.0,3,1,231268,247268,14.45425,15.45425,False,8edbb8c65a7d1623,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.771362903138694}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 361.41214021970427}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3461.0461915726446}}]"
