record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
combined_moderate:182:combined_moderate:2.00:0,combined_moderate:182:combined_moderate:2.00,182,combined_moderate,combined_moderate,2.0,1,0,425243,457243,26.5776875,28.5776875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.045452292280437}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9808838046134291}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.22520871944215992}}]"
combined_moderate:704:combined_moderate:2.00:0,combined_moderate:704:combined_moderate:2.00,704,combined_moderate,combined_moderate,2.0,1,0,439345,471345,27.4590625,29.4590625,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.602015813518037}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 222.7729227971145}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.6925512240946659}}]"
combined_moderate:705:combined_moderate:2.00:0,combined_moderate:705:combined_moderate:2.00,705,combined_moderate,combined_moderate,2.0,1,0,59837,91837,3.7398125,5.7398125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.149662662683486}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 477.6878647477577}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3231.8502608084646}}]"
combined_moderate:706:combined_moderate:2.00:0,combined_moderate:706:combined_moderate:2.00,706,combined_moderate,combined_moderate,2.0,1,0,324795,356795,20.2996875,22.2996875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.808364367977568}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3987.694201629993}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 468.20783732721213}}]"
combined_moderate:707:combined_moderate:2.00:0,combined_moderate:707:combined_moderate:2.00,707,combined_moderate,combined_moderate,2.0,1,0,11122,43122,0.695125,2.695125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.658911585602027}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0186727177601078}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.28763916509925425}}]"
combined_moderate:708:combined_moderate:2.00:0,combined_moderate:708:combined_moderate:2.00,708,combined_moderate,combined_moderate,2.0,1,0,305520,337520,19.095,21.095,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.463047415998158}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.983727175594607}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 258.1156561604081}}]"
combined_moderate:709:combined_moderate:2.00:0,combined_moderate:709:combined_moderate:2.00,709,combined_moderate,combined_moderate,2.0,1,0,269284,301284,16.83025,18.83025,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.010221864152044}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.03251346936962274}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 437.785566099041}}]"
combined_moderate:890:combined_moderate:2.00:0,combined_moderate:890:combined_moderate:2.00,890,combined_moderate,combined_moderate,2.0,1,0,53922,85922,3.370125,5.370125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.966180189543195}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.046120461012714165}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 361.81880438064564}}]"
combined_moderate:892:combined_moderate:2.00:0,combined_moderate:892:combined_moderate:2.00,892,combined_moderate,combined_moderate,2.0,1,0,334804,366804,20.92525,22.92525,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.942630069506322}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.5528743780783882}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 336.6834327179562}}]"
combined_moderate:1066:combined_moderate:2.00:0,combined_moderate:1066:combined_moderate:2.00,1066,combined_moderate,combined_moderate,2.0,1,0,331864,363864,20.7415,22.7415,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.286134918088235}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0020925510435077}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3552.955600459743}}]"
