record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
clean_current:182:clean:3.00:0,clean_current:182:clean:3.00,182,clean_current,clean,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,[]
clean_current:182:noise:3.00:0,clean_current:182:noise:3.00,182,clean_current,noise,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
clean_current:182:pitch:3.00:0,clean_current:182:pitch:3.00,182,clean_current,pitch,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
clean_current:182:time:3.00:0,clean_current:182:time:3.00,182,clean_current,time,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
clean_current:182:lowpass:3.00:0,clean_current:182:lowpass:3.00,182,clean_current,lowpass,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
clean_current:182:highpass:3.00:0,clean_current:182:highpass:3.00,182,clean_current,highpass,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
clean_current:704:clean:3.00:0,clean_current:704:clean:3.00,704,clean_current,clean,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,[]
clean_current:704:noise:3.00:0,clean_current:704:noise:3.00,704,clean_current,noise,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
clean_current:704:pitch:3.00:0,clean_current:704:pitch:3.00,704,clean_current,pitch,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
clean_current:704:time:3.00:0,clean_current:704:time:3.00,704,clean_current,time,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
clean_current:704:lowpass:3.00:0,clean_current:704:lowpass:3.00,704,clean_current,lowpass,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
clean_current:704:highpass:3.00:0,clean_current:704:highpass:3.00,704,clean_current,highpass,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
clean_current:705:clean:3.00:0,clean_current:705:clean:3.00,705,clean_current,clean,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,[]
clean_current:705:noise:3.00:0,clean_current:705:noise:3.00,705,clean_current,noise,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
clean_current:705:pitch:3.00:0,clean_current:705:pitch:3.00,705,clean_current,pitch,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
clean_current:705:time:3.00:0,clean_current:705:time:3.00,705,clean_current,time,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
clean_current:705:lowpass:3.00:0,clean_current:705:lowpass:3.00,705,clean_current,lowpass,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
clean_current:705:highpass:3.00:0,clean_current:705:highpass:3.00,705,clean_current,highpass,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
clean_current:706:clean:3.00:0,clean_current:706:clean:3.00,706,clean_current,clean,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,[]
clean_current:706:noise:3.00:0,clean_current:706:noise:3.00,706,clean_current,noise,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
clean_current:706:pitch:3.00:0,clean_current:706:pitch:3.00,706,clean_current,pitch,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
clean_current:706:time:3.00:0,clean_current:706:time:3.00,706,clean_current,time,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
clean_current:706:lowpass:3.00:0,clean_current:706:lowpass:3.00,706,clean_current,lowpass,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
clean_current:706:highpass:3.00:0,clean_current:706:highpass:3.00,706,clean_current,highpass,3.0,1,0,216022,264022,13.501375,16.501375,False,c9ad33c9b953371b,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
clean_current:707:clean:3.00:0,clean_current:707:clean:3.00,707,clean_current,clean,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,[]
clean_current:707:noise:3.00:0,clean_current:707:noise:3.00,707,clean_current,noise,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
clean_current:707:pitch:3.00:0,clean_current:707:pitch:3.00,707,clean_current,pitch,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
clean_current:707:time:3.00:0,clean_current:707:time:3.00,707,clean_current,time,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
clean_current:707:lowpass:3.00:0,clean_current:707:lowpass:3.00,707,clean_current,lowpass,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
clean_current:707:highpass:3.00:0,clean_current:707:highpass:3.00,707,clean_current,highpass,3.0,1,0,215813,263813,13.4883125,16.4883125,False,c9ad33c9b953371b,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
