record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
short_offcenter:182:clean:1.00:0,short_offcenter:182:clean:1.00,182,short_offcenter,clean,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:182:noise:1.00:0,short_offcenter:182:noise:1.00,182,short_offcenter,noise,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:pitch:1.00:0,short_offcenter:182:pitch:1.00,182,short_offcenter,pitch,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:time:1.00:0,short_offcenter:182:time:1.00,182,short_offcenter,time,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:lowpass:1.00:0,short_offcenter:182:lowpass:1.00,182,short_offcenter,lowpass,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:highpass:1.00:0,short_offcenter:182:highpass:1.00,182,short_offcenter,highpass,1.0,1,0,359861,375861,22.4913125,23.4913125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:clean:1.00:0,short_offcenter:704:clean:1.00,704,short_offcenter,clean,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:704:noise:1.00:0,short_offcenter:704:noise:1.00,704,short_offcenter,noise,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:pitch:1.00:0,short_offcenter:704:pitch:1.00,704,short_offcenter,pitch,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:time:1.00:0,short_offcenter:704:time:1.00,704,short_offcenter,time,1.0,1,0,309896,325896,19.3685,20.3685,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
