record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
short_offcenter:182:clean:3.00:0,short_offcenter:182:clean:3.00,182,short_offcenter,clean,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:182:noise:3.00:0,short_offcenter:182:noise:3.00,182,short_offcenter,noise,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:pitch:3.00:0,short_offcenter:182:pitch:3.00,182,short_offcenter,pitch,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:time:3.00:0,short_offcenter:182:time:3.00,182,short_offcenter,time,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:lowpass:3.00:0,short_offcenter:182:lowpass:3.00,182,short_offcenter,lowpass,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:182:highpass:3.00:0,short_offcenter:182:highpass:3.00,182,short_offcenter,highpass,3.0,1,0,346916,394916,21.68225,24.68225,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:clean:3.00:0,short_offcenter:704:clean:3.00,704,short_offcenter,clean,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:704:noise:3.00:0,short_offcenter:704:noise:3.00,704,short_offcenter,noise,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:pitch:3.00:0,short_offcenter:704:pitch:3.00,704,short_offcenter,pitch,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:time:3.00:0,short_offcenter:704:time:3.00,704,short_offcenter,time,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:lowpass:3.00:0,short_offcenter:704:lowpass:3.00,704,short_offcenter,lowpass,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:704:highpass:3.00:0,short_offcenter:704:highpass:3.00,704,short_offcenter,highpass,3.0,1,0,10859,58859,0.6786875,3.6786875,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:705:clean:3.00:0,short_offcenter:705:clean:3.00,705,short_offcenter,clean,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:705:noise:3.00:0,short_offcenter:705:noise:3.00,705,short_offcenter,noise,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:705:pitch:3.00:0,short_offcenter:705:pitch:3.00,705,short_offcenter,pitch,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:705:time:3.00:0,short_offcenter:705:time:3.00,705,short_offcenter,time,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:705:lowpass:3.00:0,short_offcenter:705:lowpass:3.00,705,short_offcenter,lowpass,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:705:highpass:3.00:0,short_offcenter:705:highpass:3.00,705,short_offcenter,highpass,3.0,1,0,143957,191957,8.9973125,11.9973125,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:706:clean:3.00:0,short_offcenter:706:clean:3.00,706,short_offcenter,clean,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:706:noise:3.00:0,short_offcenter:706:noise:3.00,706,short_offcenter,noise,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:706:pitch:3.00:0,short_offcenter:706:pitch:3.00,706,short_offcenter,pitch,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:706:time:3.00:0,short_offcenter:706:time:3.00,706,short_offcenter,time,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:706:lowpass:3.00:0,short_offcenter:706:lowpass:3.00,706,short_offcenter,lowpass,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:706:highpass:3.00:0,short_offcenter:706:highpass:3.00,706,short_offcenter,highpass,3.0,1,0,6696,54696,0.4185,3.4185,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:707:clean:3.00:0,short_offcenter:707:clean:3.00,707,short_offcenter,clean,3.0,1,0,262335,310335,16.3959375,19.3959375,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:707:noise:3.00:0,short_offcenter:707:noise:3.00,707,short_offcenter,noise,3.0,1,0,262335,310335,16.3959375,19.3959375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:707:pitch:3.00:0,short_offcenter:707:pitch:3.00,707,short_offcenter,pitch,3.0,1,0,262335,310335,16.3959375,19.3959375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:707:time:3.00:0,short_offcenter:707:time:3.00,707,short_offcenter,time,3.0,1,0,262335,310335,16.3959375,19.3959375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:707:lowpass:3.00:0,short_offcenter:707:lowpass:3.00,707,short_offcenter,lowpass,3.0,1,0,262335,310335,16.3959375,19.3959375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:707:highpass:3.00:0,short_offcenter:707:highpass:3.00,707,short_offcenter,highpass,3.0,1,0,262335,310335,16.3959375,19.3959375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:708:clean:3.00:0,short_offcenter:708:clean:3.00,708,short_offcenter,clean,3.0,1,0,19159,67159,1.1974375,4.1974375,False,e5b1c2dbfdd1d0c4,[]
short_offcenter:708:noise:3.00:0,short_offcenter:708:noise:3.00,708,short_offcenter,noise,3.0,1,0,19159,67159,1.1974375,4.1974375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'noise', 'parameters': {'legacy_path': True}}]"
short_offcenter:708:pitch:3.00:0,short_offcenter:708:pitch:3.00,708,short_offcenter,pitch,3.0,1,0,19159,67159,1.1974375,4.1974375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'pitch', 'parameters': {'legacy_path': True}}]"
short_offcenter:708:time:3.00:0,short_offcenter:708:time:3.00,708,short_offcenter,time,3.0,1,0,19159,67159,1.1974375,4.1974375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'time', 'parameters': {'legacy_path': True}}]"
short_offcenter:708:lowpass:3.00:0,short_offcenter:708:lowpass:3.00,708,short_offcenter,lowpass,3.0,1,0,19159,67159,1.1974375,4.1974375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'lowpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:708:highpass:3.00:0,short_offcenter:708:highpass:3.00,708,short_offcenter,highpass,3.0,1,0,19159,67159,1.1974375,4.1974375,False,e5b1c2dbfdd1d0c4,"[{'transform_name': 'highpass', 'parameters': {'legacy_path': True}}]"
short_offcenter:709:clean:3.00:0,short_offcenter:709:clean:3.00,709,short_offcenter,clean,3.0,1,0,114696,162696,7.1685,10.1685,False,e5b1c2dbfdd1d0c4,[]
