record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
combined_moderate:182:combined_moderate:1.00:0,combined_moderate:182:combined_moderate:1.00,182,combined_moderate,combined_moderate,1.0,1,0,359861,375861,22.4913125,23.4913125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.045452292280437}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4300.617436852204}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.5447726092070289}}]"
combined_moderate:704:combined_moderate:1.00:0,combined_moderate:704:combined_moderate:1.00,704,combined_moderate,combined_moderate,1.0,1,0,309896,325896,19.3685,20.3685,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.602015813518037}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.21963313927866457}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4106.937137358028}}]"
combined_moderate:705:combined_moderate:1.00:0,combined_moderate:705:combined_moderate:1.00,705,combined_moderate,combined_moderate,1.0,1,0,377368,393368,23.5855,24.5855,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.149662662683486}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.031003032245132678}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.026912826830869}}]"
combined_moderate:706:combined_moderate:1.00:0,combined_moderate:706:combined_moderate:1.00,706,combined_moderate,combined_moderate,1.0,1,0,143149,159149,8.9468125,9.9468125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.808364367977568}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4089.494027225155}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0232757482593051}}]"
combined_moderate:707:combined_moderate:1.00:0,combined_moderate:707:combined_moderate:1.00,707,combined_moderate,combined_moderate,1.0,1,0,408222,424222,25.513875,26.513875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.658911585602027}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.750597438414639}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 360.0502841571622}}]"
combined_moderate:708:combined_moderate:1.00:0,combined_moderate:708:combined_moderate:1.00,708,combined_moderate,combined_moderate,1.0,1,0,359140,375140,22.44625,23.44625,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.463047415998158}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.01397956420256}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.5323989475158675}}]"
combined_moderate:709:combined_moderate:1.00:0,combined_moderate:709:combined_moderate:1.00,709,combined_moderate,combined_moderate,1.0,1,0,121276,137276,7.57975,8.57975,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.010221864152044}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 468.4276897356878}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4418.5401933996245}}]"
combined_moderate:890:combined_moderate:1.00:0,combined_moderate:890:combined_moderate:1.00,890,combined_moderate,combined_moderate,1.0,1,0,101572,117572,6.34825,7.34825,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.966180189543195}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.6333277265038275}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4030.8532499297567}}]"
combined_moderate:892:combined_moderate:1.00:0,combined_moderate:892:combined_moderate:1.00,892,combined_moderate,combined_moderate,1.0,1,0,45907,61907,2.8691875,3.8691875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.942630069506322}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4295.522371416598}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.4448938611496218}}]"
combined_moderate:1066:combined_moderate:1.00:0,combined_moderate:1066:combined_moderate:1.00,1066,combined_moderate,combined_moderate,1.0,1,0,362904,378904,22.6815,23.6815,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.286134918088235}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3782.207142048852}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.003034800046649}}]"
