record_id,query_group_id,track_id,regime_name,condition_name,query_length_seconds,group_size,segment_index,start_sample,end_sample,start_seconds,end_seconds,apply_fade_envelope,cache_key,degradation_metadata
combined_moderate:182:combined_moderate:3.00:0,combined_moderate:182:combined_moderate:3.00,182,combined_moderate,combined_moderate,3.0,1,0,346916,394916,21.68225,24.68225,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.045452292280437}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 434.9381807706874}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9784166184547771}}]"
combined_moderate:704:combined_moderate:3.00:0,combined_moderate:704:combined_moderate:3.00,704,combined_moderate,combined_moderate,3.0,1,0,10859,58859,0.6786875,3.6786875,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 17.602015813518037}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 0.9772483546793812}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 476.9235203908955}}]"
combined_moderate:705:combined_moderate:3.00:0,combined_moderate:705:combined_moderate:3.00,705,combined_moderate,combined_moderate,3.0,1,0,143957,191957,8.9973125,11.9973125,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.149662662683486}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3298.8731961392727}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 333.6054486658922}}]"
combined_moderate:706:combined_moderate:3.00:0,combined_moderate:706:combined_moderate:3.00,706,combined_moderate,combined_moderate,3.0,1,0,6696,54696,0.4185,3.4185,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 14.808364367977568}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 3570.7800118821187}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 377.4609716536687}}]"
combined_moderate:707:combined_moderate:3.00:0,combined_moderate:707:combined_moderate:3.00,707,combined_moderate,combined_moderate,3.0,1,0,262335,310335,16.3959375,19.3959375,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.658911585602027}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 270.8595560344437}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.3130275470843287}}]"
combined_moderate:708:combined_moderate:3.00:0,combined_moderate:708:combined_moderate:3.00,708,combined_moderate,combined_moderate,3.0,1,0,19159,67159,1.1974375,4.1974375,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.463047415998158}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': 0.7451397895342138}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.020387938196452}}]"
combined_moderate:709:combined_moderate:3.00:0,combined_moderate:709:combined_moderate:3.00,709,combined_moderate,combined_moderate,3.0,1,0,114696,162696,7.1685,10.1685,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 15.010221864152044}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 335.02908351611075}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.01035919483286}}]"
combined_moderate:890:combined_moderate:3.00:0,combined_moderate:890:combined_moderate:3.00,890,combined_moderate,combined_moderate,3.0,1,0,427786,475786,26.736625,29.736625,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 16.966180189543195}}, {'transform_name': 'lowpass', 'parameters': {'cutoff_hz': 4074.4640398276733}}, {'transform_name': 'time_stretch', 'parameters': {'rate': 1.0090616936410646}}]"
combined_moderate:892:combined_moderate:3.00:0,combined_moderate:892:combined_moderate:3.00,892,combined_moderate,combined_moderate,3.0,1,0,394916,442916,24.68225,27.68225,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.942630069506322}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 319.14680318973615}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.09520320761561374}}]"
combined_moderate:1066:combined_moderate:3.00:0,combined_moderate:1066:combined_moderate:3.00,1066,combined_moderate,combined_moderate,3.0,1,0,261959,309959,16.3724375,19.3724375,False,f9a3807c3514c924,"[{'transform_name': 'gain', 'parameters': {'policy': 'moderate'}}, {'transform_name': 'gaussian_noise', 'parameters': {'snr_db': 12.286134918088235}}, {'transform_name': 'highpass', 'parameters': {'cutoff_hz': 415.06858267644134}}, {'transform_name': 'pitch_shift', 'parameters': {'n_steps': -0.45744292336750925}}]"
