evaluation_phase,aggregation_mode,run_id,model_name,windowing_name,index_name,regime_name,condition_name,query_length_seconds,query_group_id,true_track_id,top1_track_id,rank,top1_score,top_candidate_track_ids_json,top_candidate_scores_json,top1_mismatch
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfpq_nprobe4,multi_segment_same_track,clean,2.0,multi_segment_same_track:127484:2.00,127484,1068,31,0.5959100723266602,"[1068, 31120, 10357, 27453, 64246, 25153, 138119, 28802, 74154, 121926]","[0.5959100723266602, 0.5844377875328064, 0.5621472597122192, 0.553215503692627, 0.5499688386917114, 0.5494279861450195, 0.5370964407920837, 0.5349154472351074, 0.5274934768676758, 0.5216400027275085]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:35419:1.00,35419,890,31,0.5987095832824707,"[890, 57547, 63456, 68551, 28069, 39314, 46476, 102186, 739, 122613]","[0.5987095832824707, 0.5556139945983887, 0.5461108684539795, 0.5460740327835083, 0.5443124771118164, 0.5395965576171875, 0.5347715616226196, 0.5259045362472534, 0.5112690329551697, 0.5042577981948853]",True
baseline_historical,baseline_mean,hybrid_transformer_one_of_k_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,2.0,multi_segment_same_track:145912:2.00,145912,145915,31,0.6047940254211426,"[145915, 7385, 42286, 116572, 111995, 109099, 110761, 137556, 93522, 145911]","[0.6047940254211426, 0.6041017770767212, 0.598585307598114, 0.59797203540802, 0.5906543731689453, 0.5812406539916992, 0.5711827278137207, 0.5659712553024292, 0.5522171258926392, 0.5498067140579224]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:36576:1.00,36576,86521,31,0.6069262027740479,"[86521, 107084, 124390, 121416, 82060, 36803, 36531, 11506, 76130, 140345]","[0.6069262027740479, 0.5978454351425171, 0.593679666519165, 0.5879188179969788, 0.5853845477104187, 0.5831679105758667, 0.5767279267311096, 0.5724490284919739, 0.5674557685852051, 0.5623611807823181]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:115006:1.00,115006,52113,31,0.6091511249542236,"[52113, 65780, 67331, 84736, 73776, 116177, 32539, 110761, 35182, 38826]","[0.6091511249542236, 0.5890567302703857, 0.564608097076416, 0.558326005935669, 0.5400125980377197, 0.5328485369682312, 0.5271894931793213, 0.5248289108276367, 0.514886200428009, 0.5148752331733704]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,multi3_even,ivfpq_nprobe4,multi_segment_same_track,clean,1.0,multi_segment_same_track:115006:1.00,115006,84829,31,0.612809956073761,"[84829, 25142, 71415, 67039, 127048, 764, 118256, 68333, 108524, 43521]","[0.612809956073761, 0.6098417043685913, 0.5991361737251282, 0.595889687538147, 0.5874185562133789, 0.576054036617279, 0.5700525045394897, 0.5696169137954712, 0.5690647959709167, 0.5664392709732056]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:4110:1.00,4110,137605,31,0.6148985028266907,"[137605, 74374, 12516, 54937, 52115, 40238, 21999, 108459, 46474, 82319]","[0.6148985028266907, 0.6007084846496582, 0.5964255928993225, 0.5913559198379517, 0.5745882987976074, 0.5720537900924683, 0.5709245204925537, 0.562343418598175, 0.5576518774032593, 0.5447812080383301]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:138022:1.00,138022,36461,31,0.6162344217300415,"[36461, 99642, 115290, 114223, 14743, 145810, 117625, 154306, 14739, 61817]","[0.6162344217300415, 0.600576639175415, 0.5585324764251709, 0.5585324764251709, 0.5354288816452026, 0.5166768431663513, 0.4982619881629944, 0.4929773211479187, 0.49229323863983154, 0.47759631276130676]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:4105:1.00,4105,14690,31,0.6230254769325256,"[14690, 123106, 119831, 115009, 99650, 33986, 747, 1047, 51303, 144573]","[0.6230254769325256, 0.6055808067321777, 0.5925452709197998, 0.5925452709197998, 0.5883835554122925, 0.5744085311889648, 0.5743439197540283, 0.5731775760650635, 0.5690668821334839, 0.5655893087387085]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfpq_nprobe4,multi_segment_same_track,clean,1.0,multi_segment_same_track:115006:1.00,115006,84736,31,0.6259132027626038,"[84736, 769, 52113, 67039, 67331, 73776, 773, 138024, 116411, 96298]","[0.6259132027626038, 0.6211709976196289, 0.6182846426963806, 0.6024115085601807, 0.5768124461174011, 0.5761784315109253, 0.5536583662033081, 0.5527557134628296, 0.548663854598999, 0.5474241375923157]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,2.0,multi_segment_same_track:145512:2.00,145512,57273,31,0.6286496520042419,"[57273, 114216, 1048, 99085, 38784, 119830, 115005, 1042, 116890, 45363]","[0.6286496520042419, 0.6280957460403442, 0.6261534094810486, 0.6256791949272156, 0.6256570816040039, 0.5753219723701477, 0.5753219723701477, 0.5702112913131714, 0.5605318546295166, 0.5500497221946716]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfpq_nprobe4,multi_segment_same_track,clean,2.0,multi_segment_same_track:87507:2.00,87507,59586,31,0.6290011405944824,"[59586, 84736, 32370, 136048, 59584, 132447, 118505, 40243, 93519, 1066]","[0.6290011405944824, 0.6109261512756348, 0.5917432904243469, 0.5802725553512573, 0.5786683559417725, 0.5775704979896545, 0.571964681148529, 0.5611734986305237, 0.5590728521347046, 0.5585728883743286]",True
baseline_historical,baseline_mean,cnn_baseline_embed128,cnn,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,2.0,multi_segment_same_track:117235:2.00,117235,128499,31,0.6325763463973999,"[128499, 47520, 3624, 66769, 33987, 108524, 10679, 140930, 148753, 28072]","[0.6325763463973999, 0.5875604748725891, 0.5581239461898804, 0.544988214969635, 0.5389418601989746, 0.530758261680603, 0.48654067516326904, 0.47736257314682007, 0.45235854387283325, 0.44162440299987793]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,2.0,multi_segment_same_track:140933:2.00,140933,108843,31,0.6327004432678223,"[108843, 36462, 144594, 69303, 91562, 68226, 23457, 95629, 10440, 108459]","[0.6327004432678223, 0.6316114664077759, 0.6183910965919495, 0.6171292066574097, 0.6042946577072144, 0.603278398513794, 0.6001696586608887, 0.6000474691390991, 0.5980437994003296, 0.5938683152198792]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,multi3_even,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:122609:1.00,122609,132170,31,0.6338205337524414,"[132170, 65780, 111998, 60882, 54702, 42040, 127551, 43766, 149621, 7373]","[0.6338205337524414, 0.6337246298789978, 0.6176342964172363, 0.614432692527771, 0.6134011745452881, 0.6124599575996399, 0.6101629734039307, 0.6080750226974487, 0.6055293083190918, 0.5955469608306885]",True
baseline_historical,baseline_mean,hybrid_transformer_baseline_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:68228:1.00,68228,121595,31,0.6394429802894592,"[121595, 127187, 5601, 111805, 112483, 76032, 117886, 103520, 103518, 71369]","[0.6394429802894592, 0.6389841437339783, 0.6262056827545166, 0.6117170453071594, 0.6073328256607056, 0.5897263288497925, 0.5720354318618774, 0.5622236728668213, 0.557930588722229, 0.5414133071899414]",True
baseline_historical,baseline_mean,hybrid_transformer_baseline_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:109442:1.00,109442,5570,31,0.6408133506774902,"[5570, 19684, 59906, 116569, 109444, 67457, 47822, 56526, 116888, 98299]","[0.6408133506774902, 0.5986819267272949, 0.5794953107833862, 0.577286422252655, 0.570071280002594, 0.5551154613494873, 0.5523165464401245, 0.5461288690567017, 0.5236040949821472, 0.522493839263916]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,single_center,ivfflat_nprobe1,multi_segment_same_track,clean,1.0,multi_segment_same_track:73776:1.00,73776,139997,31,0.6410619020462036,"[139997, 123106, 122541, 67331, 145454, 747, 14690, 122876, 60873, 115290]","[0.6410619020462036, 0.6105995774269104, 0.6095954179763794, 0.5963892936706543, 0.5817327499389648, 0.5695914030075073, 0.5523440837860107, 0.5509082674980164, 0.5459315776824951, 0.5319361686706543]",True
baseline_historical,baseline_mean,hybrid_transformer_filters_only_embed128,hybrid_transformer,multi5_even,ivfpq_nprobe4,multi_segment_same_track,clean,1.0,multi_segment_same_track:115006:1.00,115006,67039,31,0.6419788002967834,"[67039, 96298, 118256, 12387, 73776, 20154, 71415, 773, 11505, 145887]","[0.6419788002967834, 0.6223368644714355, 0.6096566319465637, 0.5916293263435364, 0.5910628437995911, 0.5859001874923706, 0.5858843326568604, 0.5853408575057983, 0.5817763209342957, 0.5785362720489502]",True
